#_x,Name,Season,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,#_y,Date,Time,Latitude,Lat,Longitude,Long,Max Winds (kt),SS HWS,RMW nm,Central Prssure (mb),OCI (mb),Size (nm),States Affected,Category,Adjusted Costs
1690,Alicia,1983,8,15,12,27.3,-90.5,tropical depression,,30,1009,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1691,Alicia,1983,8,15,18,27.2,-91.0,tropical storm,,40,1006,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1692,Alicia,1983,8,16,0,27.1,-91.5,tropical storm,,45,1005,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1693,Alicia,1983,8,16,6,27.0,-92.0,tropical storm,,50,1004,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1694,Alicia,1983,8,16,12,27.1,-92.4,tropical storm,,55,1002,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1695,Alicia,1983,8,16,18,27.3,-92.8,tropical storm,,60,998,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1696,Alicia,1983,8,17,0,27.4,-93.3,hurricane,1.0,65,991,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1697,Alicia,1983,8,17,6,27.7,-93.7,hurricane,1.0,70,987,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1698,Alicia,1983,8,17,12,27.9,-94.2,hurricane,1.0,75,983,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1699,Alicia,1983,8,17,18,28.1,-94.5,hurricane,2.0,90,974,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1700,Alicia,1983,8,18,0,28.4,-94.8,hurricane,2.0,95,969,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1701,Alicia,1983,8,18,6,28.9,-95.0,hurricane,3.0,100,963,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1702,Alicia,1983,8,18,7,29.1,-95.1,hurricane,3.0,100,962,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1703,Alicia,1983,8,18,12,29.7,-95.5,hurricane,1.0,80,965,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1704,Alicia,1983,8,18,18,30.5,-96.0,tropical storm,,40,990,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1705,Alicia,1983,8,19,0,31.5,-96.7,tropical storm,,35,998,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1706,Alicia,1983,8,19,6,32.4,-97.4,tropical depression,,30,1003,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1707,Alicia,1983,8,19,12,33.3,-98.0,tropical depression,,25,1006,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1708,Alicia,1983,8,19,18,34.4,-98.5,tropical depression,,25,1009,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1709,Alicia,1983,8,20,0,35.4,-99.0,tropical depression,,20,1010,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1710,Alicia,1983,8,20,6,36.5,-99.4,extratropical,,20,1011,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1711,Alicia,1983,8,20,12,37.6,-99.2,extratropical,,20,1011,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1712,Alicia,1983,8,20,18,38.9,-99.0,extratropical,,20,1011,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1713,Alicia,1983,8,21,0,40.0,-98.0,extratropical,,20,1010,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
1714,Alicia,1983,8,21,6,41.2,-97.0,extratropical,,20,1010,,,3,8/18/83,0700Z,29.1,29.1N,-95.1,95.1W,100,3,10,962,----,---,CTX3,3,$9.4B
2224,Elena,1985,8,28,0,19.8,-74.0,tropical depression,,30,1012,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2225,Elena,1985,8,28,6,20.8,-76.0,tropical depression,,30,1010,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2226,Elena,1985,8,28,12,21.8,-78.0,tropical depression,,30,1008,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2227,Elena,1985,8,28,18,22.6,-80.0,tropical storm,,45,1006,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2228,Elena,1985,8,29,0,23.2,-81.8,tropical storm,,50,1004,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2229,Elena,1985,8,29,6,24.0,-83.5,tropical storm,,55,1000,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2230,Elena,1985,8,29,12,25.0,-85.0,hurricane,1.0,65,994,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2231,Elena,1985,8,29,18,25.9,-85.8,hurricane,1.0,70,990,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2232,Elena,1985,8,30,0,26.6,-86.6,hurricane,1.0,75,986,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2233,Elena,1985,8,30,6,27.3,-87.2,hurricane,1.0,80,980,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2234,Elena,1985,8,30,12,27.9,-87.3,hurricane,2.0,90,974,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2235,Elena,1985,8,30,18,28.3,-86.8,hurricane,2.0,90,978,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2236,Elena,1985,8,31,0,28.4,-86.0,hurricane,2.0,90,977,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2237,Elena,1985,8,31,6,28.6,-85.3,hurricane,2.0,90,976,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2238,Elena,1985,8,31,12,28.8,-84.4,hurricane,2.0,90,975,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2239,Elena,1985,8,31,18,28.8,-84.0,hurricane,2.0,90,974,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2240,Elena,1985,9,1,0,28.8,-83.8,hurricane,2.0,95,971,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2241,Elena,1985,9,1,6,28.6,-83.9,hurricane,3.0,100,965,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2242,Elena,1985,9,1,12,28.6,-84.2,hurricane,3.0,105,961,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2243,Elena,1985,9,1,18,28.9,-84.8,hurricane,3.0,110,954,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
2244,Elena,1985,9,2,0,29.4,-85.9,hurricane,3.0,110,953,,,5,9/2/85,1300Z,30.4,30.4N,-89.2,89.2W,100,3,10,959,----,---,"AL3,MS3,AFL3",3,$3.8B
